Source	Station	IBMR_strata	IBMR_strata2	Year	Month	Day	1	2	3	4	5	6	7	8	9	10	11	12
20mm	606	10	11	1995	5	11	0	4136.892543	0	6929.606388	0	177.930862	97.86197413	237.2411494	3288.162331	415.1720114	2365.531501	0
20mm	606	10	11	1995	5	25	0	7428.446501	0	8310.191309	0	94.32947938	589.5592461	0	792.3676268	864.6868943	4582.211677	0
20mm	606	10	11	1995	6	8	0	7126.086764	0	4511.447335	0	29.50760565	56.06445073	0	198.2911099	472.1216903	181.0586682	0
20mm	606	10	11	1995	6	23	0	8262.555163	0	24011.36519	0	0	50.65167916	0	319.1055787	316.5729948	0	0
20mm	606	10	11	1995	7	6	0	15726.47034	0	13094.43377	157.9162709	59.23340994	29.61670497	0	199.0242574	118.4668199	0	0
20mm	606	10	11	1995	7	20	0	7873.541159	0	31066.61385	373.1708574	279.9481301	6.998703252	0	940.6257171	349.9351626	0	0
20mm	606	10	11	1995	8	3	0	36208.99296	0	34640.06039	990.0838486	742.7485736	111.412286	0	0	0	0	0
20mm	609	10	11	1995	4	27	0	171.5158245	0	934.370067	0	30.09049552	18.05429731	0	950.3782106	240.7239642	221.5623366	0
20mm	609	10	11	1995	5	11	0	413.2072125	0	2186.166668	0	163.6133609	20.03428909	166.9524091	1626.784275	242.0809932	281.7154951	0
20mm	609	10	11	1995	6	8	0	12609.1838	0	19769.14338	0	0	312.993924	0	300.4741671	447.1341772	0	0
20mm	609	10	11	1995	6	23	0	6490.034098	0	13630.2102	0	22.77204947	197.357762	0	191.2852155	189.7670789	0	0
20mm	609	10	11	1995	7	6	0	17250.08855	0	24387.60018	0	143.7507379	50.31275826	0	0	1078.130534	0	0
20mm	609	10	11	1995	7	20	0	11241.48117	0	64566.91556	0	101.2746051	40.50984204	0	0	405.0984204	0	0
20mm	609	10	11	1995	8	3	0	14724.88614	0	26914.79827	0	275.2315166	110.0926066	0	770.6482465	275.2315166	0	0
20mm	610	10	11	1995	4	27	0	119.222121	0	118.2342805	0	213.4643689	1.135448771	136.2538525	1611.883075	5.677243855	17.41778415	0
20mm	610	10	11	1995	5	11	0	360.5077818	0	168.6833078	0	745.0494158	8.583518615	686.6814892	3691.599686	17.16703723	105.3369404	0
20mm	610	10	11	1995	5	25	0	301.0837074	0	104.5061549	0	441.5894376	18.06502245	120.433483	1871.536325	0	123.1633086	0
20mm	610	10	11	1995	6	8	0	2657.932052	0	2880.992303	0	119.5039217	131.8663964	82.41649775	796.1433682	20.60412444	0	0
20mm	610	10	11	1995	6	23	0	4205.09001	0	684.5495365	0	247.741737	257.5210161	0	5366.868366	0	100.0094275	0
20mm	610	10	11	1995	7	6	0	10916.43228	0	6586.145693	0	61.07094984	81.42793312	0	85.49932977	101.7849164	0	0
20mm	610	10	11	1995	7	20	0	9934.817041	0	10623.18948	0	984.0199737	157.6955086	0	423.885527	126.1564069	193.5239281	0
20mm	610	10	11	1995	8	3	0	26376.89153	0	51837.84992	0	472.0696469	165.2243764	0	198.2692517	118.0174117	0	0
20mm	703	7	8	1995	4	26	0	1242.232872	0	117.7705776	0	786.7474858	3.450646868	207.0388121	5304.334365	0	846.9267672	0
20mm	703	7	8	1995	5	10	0	972.9479415	0	129.9542899	0	788.8767093	36.81424644	631.1013675	3504.716261	35.06118708	484.0547488	0
20mm	703	7	8	1995	5	24	0	1697.310874	0	2190.729129	0	2229.80056	19.96836322	266.2448429	2627.836599	0	306.3146918	0
20mm	703	7	8	1995	6	7	0	6601.764597	0	10296.33573	0	346.3220772	165.9459953	721.5043275	1030.30818	0	442.7150554	0
20mm	703	7	8	1995	6	22	0	3674.809716	0	15921.47747	0	744.2652589	71.32542065	0	989.8727945	0	0	0
20mm	703	7	8	1995	7	4	0	13565.80009	0	30249.97568	0	435.4454352	58.61765473	0	281.3647427	0	0	0
20mm	703	7	8	1995	7	24	0	2979.864691	0	19771.19672	0	486.3687196	6.850263657	274.0105463	517.8799325	0	0	0
20mm	703	7	8	1995	8	8	0	19892.49914	0	5492.154354	0	649.732634	35.60178817	178.0089408	0	0	0	0
20mm	704	5	6	1995	4	26	0	141.7175143	0	302.3306971	0	838.9676845	0	1738.401508	5333.113497	0	0	0
20mm	704	5	6	1995	5	10	0	503.7801516	0	191.9162482	0	758.0691804	21.59057792	959.5812411	7738.063128	0	73.59988119	0
20mm	704	5	6	1995	5	24	0	143.7670659	0	54.51966622	0	1178.889941	0	1150.136527	2415.286708	0	49.00859536	0
20mm	704	5	6	1995	6	7	0	466.9793171	0	2985.837452	0	820.7515271	14.1508884	905.6568574	2044.520355	0	43.4149256	0
20mm	704	5	6	1995	6	22	0	343.2984613	0	306.2937479	0	680.8752815	21.45615383	514.9476919	3532.541166	14.30410255	87.76997326	0
20mm	704	5	6	1995	7	10	0	8025.28719	0	13023.06153	0	310.3111047	155.1555523	0	2786.379712	0	0	0
20mm	704	5	6	1995	7	18	0	631.5431515	0	1046.778777	0	102.325979	35.17455527	0	62.67466212	5.329478072	0	0
20mm	704	5	6	1995	8	1	0	2009.209505	0	1647.47633	0	54.71086914	49.05112406	0	126.7782899	0	0	0
20mm	705	5	6	1995	4	25	0	523.6162866	0	398.9457422	0	2463.489959	0	997.3643555	25720.032	0	0	0
20mm	705	5	6	1995	5	9	0	636.4345903	0	261.1013704	0	437.3447954	10.87922377	1392.540642	5410.020394	0	33.37745851	0
20mm	705	5	6	1995	5	24	0	313.3380122	0	321.3723202	0	1632.571386	16.06861601	64.27446404	3023.470789	0	49.29851392	0
20mm	705	5	6	1995	6	6	0	365.5247999	0	507.6733332	0	1421.485333	20.30693333	974.7327998	2353.979712	0	0	0
20mm	705	5	6	1995	6	22	0	629.8695415	0	4272.158629	0	839.8260552	32.86275868	511.1984684	3005.846994	0	0	0
20mm	705	5	6	1995	7	4	0	2294.832065	0	20033.58645	0	1079.421008	55.24595712	169.9875604	785.3425289	0	0	0
20mm	705	5	6	1995	7	24	0	2823.317166	0	20433.41725	0	460.8172846	58.41345862	129.8076858	490.6730524	0	0	0
20mm	705	5	6	1995	8	8	0	24671.18967	0	7006.433064	0	240.2437946	18.48029189	0	0	0	0	0
20mm	706	5	6	1995	4	26	0	97.30464624	0	142.7134812	0	884.8235831	2.594790566	2075.832453	3923.323336	0	0	0
20mm	706	5	6	1995	5	10	0	383.5244447	0	102.2731852	0	1191.482608	12.78414816	1738.644149	6400.255933	0	0	0
