"","Scenario","Region","MeanBiomass","sdbiomass","MeanU95","MeanL95","GeoMeanBiomass","sdgio","lower","upper","Year"
"34","15000-b","SE Suisun",359.639312739912,518.435908084577,118.688469426646,48.6712532291972,76.7962058499291,1.96217908198222,10.7938459681163,546.39071655883,"2016"
"35","15000-b","SW Suisun",5.16108100510348,3.99096295530567,7.76666818247418,2.1812031059299,4.13137476021432,0.630063495181075,2.20019661785904,7.75760551161316,"2016"
"36","15000-b","Suisun Marsh",890.195884247426,866.978008614963,733.182737060394,246.622338311193,436.320418210538,1.31740818278894,116.859071863772,1629.10336622687,"2016"
"37","21000","Confluence",50279.871064014,45648.8107135513,32177.4706173002,13532.4515518668,20690.9054796422,1.72144346582941,3699.69649937713,115715.862000994,"2016"
"38","21000","NE Suisun",2690.41892696226,3289.34492396301,778.76920476527,279.681122465131,471.655288615633,2.60476585027407,34.8649681715755,6380.5797895568,"2016"
"39","21000","NW Suisun",269.220268241459,308.340161537116,97.4516177550776,26.3903056236576,51.1451729639022,2.35462147520004,4.85518226397585,538.770446769057,"2016"
"40","21000","SE Suisun",1409.32400679287,1516.22165341114,534.675528266137,199.985798804052,330.481339674479,2.38136886815687,30.5443989580507,3575.71010066484,"2016"
"41","21000","SW Suisun",17.5472863455242,17.1431706641972,20.072919683924,4.89581022515605,9.9122326826464,1.15094323668647,3.135618308432,31.3342846897892,"2016"
"42","21000","Suisun Marsh",1813.09183322339,1417.70381113121,1815.86351234489,557.483932561665,1035.07278607527,1.27427721797513,289.440517610386,3701.54006536086,"2016"
"43","Noaction","Confluence",6589.14718113527,6764.75731420094,5779.22638803699,2775.37083528741,3960.40782706838,1.01296323068047,1438.18769514471,10905.9688173221,"2016"
"44","Noaction","NE Suisun",105.144682997275,145.794907885551,67.5976577077157,27.6977716695099,43.9111247592223,1.30628271596882,11.892226880654,162.138420076455,"2016"
"45","Noaction","NW Suisun",18.9282169263342,22.9922057459899,17.3821758066432,5.16282981592493,9.67463405838881,1.14634395398692,3.07456510132016,30.4428564949063,"2016"
"46","Noaction","SE Suisun",73.8582769109776,106.155563735196,49.4972316756872,20.3054541152533,32.0912842877066,1.24824985961355,9.21041230289784,111.813727047853,"2016"
