"region","Year","DOY","IBMR","Gates+X2_median","Gates+X2_l95","Gates+X2_u95","NoAction_median","NoAction_l95","NoAction_u95","X2Only_median","X2Only_l95","X2Only_u95","GatesOnly_median","GatesOnly_l95","GatesOnly_u95"
"Suisun Marsh",2016,254,"eurytem",0.158431626383831,0,0.510644011885893,0.01813845794025,0,0.121071864595133,0.0327003558953201,0,0.175419608144383,0.0544711982421844,0,0.236677431479076
"Suisun Marsh",2016,254,"limno",1902.18608727142,767.181779054843,4797.54789606125,457.385279706052,228.412137370254,1002.09151363435,749.869096071686,369.967854887668,1526.58561486204,1039.91396190229,456.657009146979,2228.70942840238
"Suisun Marsh",2016,254,"othcalad",1.76737102901055,0.577773716635694,3.98447457844994,11.5701810847833,6.45475717359949,20.2138532331702,3.84246848924151,1.96489509889574,7.26633639759072,2.43629658239465,1.25128247286561,4.37684448881937
"Suisun Marsh",2016,254,"othcaljuv",6.29940711100734,2.0410899820333,16.580224419811,16.0020967990871,6.70989235331247,39.0043744202225,8.76956272895438,3.52541386332183,20.904790302092,6.92790975141971,2.79284860825251,16.2323901621605
"Suisun Marsh",2016,254,"othclad",0.674257700614173,0.262298790804399,1.27491644125092,0.105548891509122,0.0238435386514682,0.230312494049899,0.156041051979037,0.037292910408938,0.323994363726687,0.220175500227568,0.0654214476161851,0.447331239687913
"Suisun Marsh",2016,254,"othcyc",22.8142491579553,3.47463887088334,105.497749376771,11.0831506613332,1.93230962485372,48.2055867420741,12.6274043604655,2.07687404873609,55.271525813714,14.4370164324805,2.29339739407219,62.7182025583655
"Suisun Marsh",2016,254,"other",159.992330101869,70.1254466614621,338.996507297866,71.9249106201237,40.1365709775502,139.520761254233,107.477614284618,55.0775413966277,208.452732057998,138.392355470166,71.9794983149277,254.851629957254
"Suisun Marsh",2016,254,"pdiapfor",141.752277198961,82.9380810845107,251.9834980029,20.6890282697101,13.0691538743952,33.442473299589,38.7062477298984,23.9278737036441,64.644596785698,56.0798908057375,34.9864548281616,94.2474501919169
"Suisun Marsh",2016,254,"pdiapjuv",24.8135583538577,13.4655764869035,47.2718766409243,3.97506635042827,2.13522470847652,7.2555074543572,6.91475704152297,3.90149414792497,13.0186775418858,9.87870228171729,5.37804735285477,18.4618413812605
"Suisun Marsh",2016,255,"acartela",373.27385741271,169.502254157233,805.454638778584,70.381140243572,38.5142280338969,133.615728896165,93.7456935414185,49.1107506088576,175.812623759472,119.552259637313,61.9927549654006,224.215377081675
"Suisun Marsh",2016,255,"allcopnaup",0.991044099224199,0.164600712444016,3.14625560250013,0.266492831716477,0.0546360487354203,0.620833504714284,0.381208841324806,0.0812913415822674,0.989628288148577,0.446199466421236,0.0878805608409008,1.2197951567642
