scenario,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-60d,10800-60d,10800-60d,10800-60d,10800-60d,10800-b,10800-b,10800-b,10800-b,10800-b,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-60d,15000-60d,15000-60d,15000-60d,15000-60d,15000-b,15000-b,15000-b,15000-b,15000-b,21000,21000,21000,21000,21000,Noaction,Noaction,Noaction,Noaction,Noaction,fallx2,fallx2,fallx2,fallx2,fallx2
region,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-12,7625.14,60399.20,34515.79,25227.49,6096.02,7623.56,60393.18,34504.64,25227.49,6088.58,7624.75,60394.87,34511.92,25226.35,6094.34,7625.73,60387.12,34519.04,25183.33,6107.79,7624.75,60384.21,34514.42,25187.14,6103.52,7625.34,60381.03,34508.71,25187.14,6097.86,7624.31,60368.82,34497.72,25109.32,6090.12,7625.73,60399.48,34510.55,25243.55,6093.68,7625.34,60406.87,34528.48,25243.55,6110.91
2024-05-13,7563.35,59631.30,33403.38,24907.77,5754.12,7563.35,59629.64,33404.53,24908.95,5752.10,7563.35,59627.28,33405.85,24907.02,5756.15,7563.35,59622.22,33405.34,24858.25,5755.98,7563.35,59621.28,33395.65,24861.61,5748.65,7563.35,59622.34,33401.29,24859.92,5754.29,7563.35,59604.72,33396.24,24797.83,5752.08,7563.35,59634.03,33404.23,24928.67,5755.72,7563.45,59633.01,33413.85,24923.01,5764.20
2024-05-14,7567.56,59420.79,33230.71,24826.17,5732.68,7567.50,59417.27,33227.49,24812.58,5730.10,7567.50,59422.15,33233.20,24822.29,5731.27,7565.34,59407.88,33222.80,24776.87,5732.54,7565.34,59404.46,33219.11,24779.59,5730.16,7565.34,59402.26,33212.52,24776.87,5722.51,7565.34,59381.06,33215.69,24717.98,5735.54,7567.56,59421.22,33229.47,24842.17,5734.63,7567.56,59421.37,33232.32,24842.17,5735.32
2024-05-15,7567.07,59673.91,33513.04,24964.62,5755.45,7566.81,59673.73,33510.97,24963.58,5751.89,7567.07,59675.79,33509.60,24963.58,5748.65,7566.81,59663.88,33510.13,24924.08,5754.50,7566.81,59657.87,33499.86,24924.08,5748.17,7566.81,59654.59,33494.74,24924.08,5745.90,7566.81,59642.73,33501.54,24864.79,5750.20,7567.07,59691.50,33530.15,24982.50,5756.45,7567.07,59687.18,33525.07,24984.01,5756.50
2024-05-16,7581.23,59689.18,33628.42,25396.34,5821.15,7580.85,59684.34,33628.32,25388.86,5826.79,7581.13,59679.16,33621.54,25388.86,5823.68,7580.61,59661.67,33612.08,25356.12,5823.83,7580.31,59666.25,33617.26,25356.12,5821.39,7580.31,59664.80,33617.45,25356.12,5822.10,7580.99,59648.56,33610.99,25271.57,5817.91,7581.23,59693.31,33637.90,25414.18,5831.92,7581.23,59694.32,33631.63,25414.18,5822.32
2024-05-17,7671.04,59848.59,34314.91,25248.16,6337.30,7671.04,59843.07,34313.91,25248.16,6338.99,7671.04,59845.68,34310.60,25246.55,6332.07,7671.04,59828.04,34304.92,25201.71,6339.12,7671.04,59823.89,34299.64,25199.10,6333.91,7671.04,59820.01,34296.54,25199.10,6339.24,7671.04,59800.47,34286.89,25128.29,6332.82,7671.04,59850.45,34316.34,25269.02,6338.44,7671.04,59849.87,34317.61,25272.55,6338.96
2024-05-18,7647.31,60378.94,34647.31,25615.49,6207.87,7647.31,60376.14,34647.41,25615.49,6213.88,7647.31,60374.47,34645.22,25615.49,6205.71,7647.31,60365.89,34645.41,25612.17,6217.32,7647.31,60364.12,34640.30,25612.17,6210.00,7647.05,60365.23,34643.34,25612.17,6213.74,7646.52,60350.10,34623.93,25579.68,6198.41,7647.53,60381.30,34652.89,25615.49,6214.92,7647.53,60380.85,34655.31,25615.49,6213.93
2024-05-19,7638.34,59960.47,34259.08,25619.10,6184.31,7638.13,59958.37,34254.35,25619.10,6180.52,7638.13,59959.40,34255.47,25619.10,6177.27,7638.13,59942.81,34241.33,25619.10,6180.86,7638.13,59947.04,34251.10,25619.10,6186.01,7638.13,59946.01,34247.73,25619.10,6183.51,7635.53,59941.61,34241.95,25605.98,6170.96,7638.59,59959.60,34260.09,25619.10,6190.53,7639.30,59964.05,34257.30,25619.10,6174.92
2024-05-20,7672.12,60081.07,34684.38,25640.97,6534.35,7672.12,60080.67,34686.00,25637.81,6536.27,7672.12,60081.38,34684.46,25637.81,6534.53,7672.12,60079.90,34685.79,25610.86,6536.59,7672.12,60070.96,34674.49,25610.86,6533.91,7672.12,60079.00,34685.92,25610.86,6537.29,7672.12,60074.14,34681.08,25572.64,6533.72,7672.12,60077.90,34683.94,25650.46,6537.69,7672.12,60080.70,34686.93,25650.46,6538.00
2024-05-21,7685.55,60545.07,35619.40,25606.92,7038.52,7685.55,60543.24,35628.63,25606.63,7047.13,7685.55,60547.92,35633.45,25606.63,7048.06,7685.55,60545.42,35621.00,25586.23,7037.63,7685.55,60544.41,35621.44,25586.23,7039.29,7685.55,60544.06,35628.55,25586.23,7046.49,7685.55,60541.75,35623.52,25542.68,7043.98,7685.55,60548.59,35636.15,25623.31,7049.54,7685.55,60546.20,35633.76,25623.31,7049.05
