day_of_year,Yolo Bypass,Sacramento River,East Delta,Lower Sacramento River,South Delta,Suisun Marsh,Confluence,Lower San Joaquin River,SW Suisun,SE Suisun,NE Suisun,NW Suisun
152,17.4803403241731,16.16112142499358,16.57574814609913,16.44685729305921,16.91409524413482,17.30455271521692,16.793480366404577,18.012905732374296,16.51977058132707,17.193754966817675,17.281183123160588,17.15742754478596
153,17.508095369246682,16.242089796072463,16.67711890542307,16.527812550128587,16.974617472282315,17.380652817385887,16.872350914238528,18.11087937318619,16.56091115091016,17.241955623471554,17.34750350567484,17.228088573725575
154,17.55914826885196,16.313813017336184,16.719102898261248,16.62901079691534,17.0262425498631,17.47720390446302,16.979826001415532,18.218880787286064,16.691993417498534,17.3440504889979,17.446127515763383,17.334154983923252
155,17.638660814837642,16.444906650464542,16.874390960195495,16.679083151671065,17.14931794277706,17.641143591556823,17.077642625897358,18.368873587322053,16.760911385789786,17.416546936779874,17.49069319461969,17.416805358291313
156,17.737284523639953,16.631175554164166,17.18019152701695,16.816170668380337,17.390287377899195,17.852494868935725,17.27674084874851,18.590304037159143,16.94137246623607,17.563972525323038,17.658511563682097,17.547962395498327
157,17.856390582651194,16.89379127567626,17.81058051985562,16.93707420051408,17.68903629189189,18.00961999063499,17.47727294008244,18.84336846668352,17.105006600117484,17.717174463848743,17.784820928961587,17.726837558567077
158,18.074583112168877,17.11253028058956,18.32996609830035,17.08085357069411,18.004743890874824,18.18295149703702,17.691250566422557,19.06354253400174,17.271935666470917,17.897202371638425,17.976205901639556,17.865229547542537
159,18.30980285053647,17.295277357953147,18.537336660000623,17.225452969151693,18.275391816679665,18.315009008035144,17.872618849454017,19.213058143458362,17.354099289489128,18.026569126789923,18.099521378730167,17.97353940055087
160,18.51295858637489,17.47181187794231,18.79626598298345,17.430430164524335,18.50384831644311,18.44253534780012,18.06925415435075,19.400914808228347,17.46091220786845,18.21052037373338,18.27418628415263,18.144429903536803
161,18.649195679619343,17.616420991081203,19.002334530362237,17.6753726915165,18.700468811149815,18.592311928669332,18.256554682715972,19.540728665564544,17.551028954785675,18.308069332867657,18.373634203447057,18.225090071199077
162,18.77372672632574,17.675875767611096,19.040088156328494,17.837859123393326,18.795687097663354,18.712338637292813,18.39140793255872,19.638815705914,17.64860173810925,18.40013812783797,18.448684695250396,18.269033061552964
163,18.826105510299435,17.769024086583332,19.13060867943838,17.942225107968916,18.888464353473694,18.818161524626326,18.481601188600145,19.70244337990225,17.74137340575455,18.48097795668889,18.51944861706612,18.35743124942594
164,18.887754180165455,17.797900139294,19.129005356180095,18.032065390745643,18.976980106278138,18.883221072902142,18.550847768829396,19.747751840323215,17.79634406341748,18.505582825707307,18.553348373266,18.387049007809075
165,18.932995870227227,17.826600591744175,19.2160014828427,18.061483796915343,19.085997544293505,18.97318067937388,18.6001885653609,19.78718517043241,17.892234486200827,18.572506412853606,18.6037637200499,18.467104671566226
